Last Activity;Account Name;Last Modified Date;Parent Account
;Águas de S. João;01-06-2026;
;Naz Gelatarias Unipessoal, Lda (OLÁ UBBO);27-05-2026;
;Municipio de Vila Nova de Gaia;20-03-2026;
;MEO - Serviços de Comunicações e Multimédia;04-03-2026;
;ACCESS BANK ANGOLA;04-03-2026;
;SEMIC - COMU DE CANILLO;23-01-2026;
;Intermarché Mortágua;06-01-2026;
;Intermarché Montemor-O-Novo;06-01-2026;
;Algardata - CM FARO;15-12-2025;
;BRICO - CARTAXO;22-10-2025;
;EVA - Transportes, SA;08-04-2026;
;Visualforma - Municipio de Vila do Bispo;28-08-2025;
;Wells - Oeiras Parque;15-07-2025;
;UPHILL S.A.;25-05-2026;
;Hospital CUF Arrifana de Sousa - Penafiel;15-04-2025;
;Centro de Saúde CUF Campo de Ourique;01-04-2025;
;LAGAR ALENTEJANO - RESTAURAÇÃO, UNIPESSOAL, LDA;26-06-2025;
;AGUAS DEL PUERTO;14-01-2025;
;ECOVISION-OPTICA;03-01-2025;
;PETROGAL;04-07-2025;
;Farmacia Sanex (Medzed -Av. da Igreja);05-11-2024;
;Micauto Rent a Car;14-10-2024;
;Glintt - Santa Casa da Misericordia Vila do Conde;01-10-2024;
;BRICO_MANGUALDE_ S/ PDV;30-09-2024;
;BRICO_VILA REAL - PDV 05457;30-09-2024;
16-10-2024;Clinicas Smile Up;27-09-2024;
;BRICO_CASTRO VERDE_12026;03-12-2024;
;GLINTT - GLOBAL INTELLIGENT TECHNOLOGIES, S.A.;25-09-2024;
;Floene SA;23-09-2024;
;Clinica Amamentos;17-09-2024;
;WELLS;13-09-2024;
;ESPAES;28-08-2024;
;KINSARI;09-08-2024;
07-10-2024;CM CONTACTO MAGNETICO;08-08-2024;
12-08-2024;LUSÍADAS SA;08-08-2024;
;Medipro;06-08-2024;
05-08-2024;CAIXA GERAL DE APOSENTAÇÕES;21-03-2025;
05-08-2024;BANCO CTT;05-08-2024;
06-08-2024;Hospital Antonio Lopes;06-08-2024;
;Synlab;22-07-2024;
;Gold Energy;15-07-2024;
16-08-2024;DD GOMES;02-08-2024;
;BRICO_BEJA_PDV03271;30-09-2024;
;BRICO_ESTARREJA_PDV11916;30-09-2024;
19-07-2024;Climag;21-05-2024;
;BRICO_FARO_ PDV11880;30-09-2024;
;Lagar do Rio;09-05-2024;
;Sintra Coffee Lovers;07-05-2024;
05-06-2024;Hospital da Terra Quente;24-04-2024;
;R2M TIMOR;19-04-2024;
;Dismael;18-04-2024;
24-09-2024;IVI - Clinica Reprodução Medicamente Assistida;11-04-2024;
03-06-2026;Nespresso;13-05-2026;
;IX - Intermarché -  LOJA MIRA_ 3024_;01-04-2024;
;Churrascaria O Piri-pIRI;19-03-2024;
18-03-2024;Marsil, Artes gráficas, Lda;21-03-2024;
;Novo Atalho;14-03-2024;
02-04-2024;Universidade da Madeira;29-02-2024;
06-06-2024;A. L. Correia;27-02-2024;
16-04-2024;The Loop Co;15-02-2024;
19-03-2024;Escola Secundária D. Afonso Sanches;08-02-2024;
;CARDIO-ON;05-02-2024;
21-08-2024;CM Lousada;25-01-2024;
24-01-2024;Farmácia Moderna Sobral Monte Agraço;02-02-2024;
02-10-2024;Universidade Lusíada;11-01-2024;
12-03-2024;MUNICÍPIO DA GOLEGÃ;10-01-2024;
21-08-2024;LUCIOS;09-01-2024;
24-09-2024;Carvalho & Fonseca;03-01-2024;
;O.C.LUIS  MONTAGEM DE INSTALAÇÕES ELÉTRICAS, LDA;02-01-2024;
;CM. Vila Pouca de Aguiar;06-02-2024;
13-12-2023;Caixa de Crédito Agrícola Mútuo da Chamusca C.R.L;13-12-2023;
;REGITEMA;11-12-2023;
12-09-2024;Costa e Carreira;07-12-2023;
22-05-2024;Builtinlt;21-11-2023;
27-11-2023;INGKA;17-11-2023;
19-12-2023;Clínica Espregueira;15-11-2023;
;Ângulo Recto construções;10-11-2023;
;CÂMARA MUNICIPAL DE OURIQUE;30-10-2023;
27-10-2023;Centro Hospitalar Do Baixo Vouga;27-10-2023;
16-10-2024;Playeng;17-10-2023;
14-11-2023;Escola Superior de Hotelaria e Turismo do Estoril;10-10-2023;
03-10-2023;BRICOMARCHE;04-06-2024;
22-11-2023;CONZEL Construções;27-09-2023;
;Portway Handling De Portugal SA;25-09-2023;
27-05-2024;3CMN - Endesa;14-04-2026;
19-09-2023;AGENCIA PARA A INTEGRAÇÃO MIGRAÇÕES E ASILO I P;29-12-2023;
26-01-2026;ESEL - Escola Superior de Enfermagem de Lisboa.;10-10-2024;
09-10-2023;One Day Clinic / Trust;11-12-2025;
;INTEMARCHE_VILA FLOR_5285;16-08-2023;
09-08-2023;David Marinho Virginio LDA;09-08-2023;
;Algardata - C.M. Sesimbra;13-12-2023;
25-09-2023;JF Mina de Água;20-07-2023;
27-09-2023;JP Instalações Elétricas;12-07-2023;
;Lagos-em-Forma - Gestão Desportiva, E.M., S.A.;06-07-2023;
;CSJA-JUSTICIA ANDORRA;06-07-2023;
20-09-2023;UNDEL Engenharia Elétrica;28-06-2023;
;Grupo Bensaude;21-06-2023;
22-02-2024;Peixotos Eletricidade;07-06-2023;
;Field Service;15-04-2026;
03-07-2024;Volte Energy;02-06-2023;
28-05-2026;Ágora – Cultura e Desporto_não usar;12-10-2023;
11-10-2023;HLS Smart Installations;19-05-2023;
;Municipio Borba;16-05-2023;
04-10-2023;MIMED - CUIDADOS DE SAÚDE, S.A;15-05-2023;
;Papelissimo - Papelaria Livraria, Lda.;15-05-2023;
03-07-2024;Hospital Casa de Saúde de São Mateus;15-05-2023;
28-05-2024;Farmácia Bela Vista;21-01-2026;
19-04-2024;CM Castelo Branco;26-04-2023;
;CMM - Centros Médicos e Reabilitação;26-04-2023;
;Intermarché Serpa_NÃO USAR;12-06-2024;
;Intermarché Moura;18-04-2023;
19-12-2023;Norauto;12-04-2023;
14-04-2023;CM. Castelo Branco;11-04-2023;
24-04-2023;Farmácia Banha Unipessoal Lda;14-04-2023;
31-05-2023;PROSONIC;19-04-2023;
;OMNISTAL;21-03-2023;
;Barloworld Equipment;29-12-2023;
;CENTRO HOSPITALAR TONDELA-VISEU;16-03-2023;
;Pertinente Reflexo Lda.;14-03-2023;
;André Martins Marcelino;14-03-2023;
;Auchan - Terrugem;14-03-2023;
20-05-2026;ITMP ALIMENTAR, S.A. - Intermarché;09-10-2024;
;Solução Gestão Atendimento farmácia Nova D´Almada;13-03-2023;
03-10-2023;Pedro Pinheiro;13-03-2023;
05-03-2024;Farmácia Algarve - Quarteira;07-03-2024;
14-09-2023;INDAQUA S.A.;03-06-2026;
;SINDICATO BANCÁRIO MX;06-09-2024;
01-03-2023;Teisil - Empresa de Construções Lda;27-09-2023;
;Trinidad and Tobago Unit Trust Corporation;29-12-2023;
27-02-2023;TALKGREEN;26-04-2023;
12-04-2023;CM Peso da Regua;11-04-2023;
22-02-2023;Clinica Berjaya;22-02-2023;
;Polo de Saúde de Cascais;20-02-2023;
04-06-2024;Ferlindo - Fornecimentos E Instalações Electricas Lda;06-02-2024;
;SEMS;19-04-2023;
;Unidade Hospitalar de Bragança;20-02-2023;
17-02-2023;Fullprojekts, Lda;17-02-2023;
17-02-2023;Anteros Empreitadas, S.A.;17-02-2023;
20-06-2024;Farmácia Varela;25-06-2025;
;Abudhabi Quality and Conformity Council;05-09-2024;
;LIVEFIT CLUB;06-09-2024;
;Municipio de Peso da Régua;09-02-2023;
;Al Mannai Corp;06-09-2024;
;Qatar Airways;06-09-2024;
;Hemaia Group, Banking and Retail Technologies;19-04-2023;
;Affinity Group;19-04-2023;
;SIMO & ASOCIADOS;19-04-2023;
;Loomis Spain S.A;06-09-2024;
;SISTEC Corporate;19-04-2023;
;SISTEC Corporate;26-01-2023;
16-02-2023;PRIME CONSULTING SA;29-12-2023;
17-04-2024;JC Bartolomeu - Instalações Eléctricas, Lda;05-05-2023;
;National Marine Dredging Company;06-09-2024;
12-05-2023;Generali Seguros, SA;20-04-2023;
;Multiluz-Instalações Electricas, Lda;05-05-2023;
24-05-2023;Exitus - Soluções Tecnológicas;29-05-2023;
;CFE - COMISIÓN FEDERAL DE ELECTRICIDAD;06-09-2024;
;Corniche Hospital;19-10-2023;
;Selpri-Estudos, Projectos E Instalações Electricas, Lda;21-04-2023;
;Vodacom Ltd;06-09-2024;
28-07-2023;RAIKOU - Gestão e Instalações Especiais, Lda;05-05-2023;
19-09-2023;UNDEL - Engenharia Eletrica, Lda.;05-05-2023;
25-05-2023;ACORDO - Comércio de Equipamentos Eléctricos, Lda;05-05-2023;
01-03-2024;Iberinstal - Instalações Técnicas, S.A;05-05-2023;
16-10-2023;Poetica Engenharia;05-05-2023;
;NCBA BANK;29-12-2023;
23-11-2022;GESTÉCNICA, Unipessoal Lda;05-05-2023;
16-08-2023;Águas do Interior Norte;03-04-2024;
08-06-2023;Escola Superior de Educação do Instituto Politécnico do Porto;18-04-2023;
;Cronotécnica;28-05-2025;
;Ayuntamiento de la Massana;29-12-2023;
27-10-2022;Feirasaúde - Serviços de Saúde, Unipessoal Lda;20-04-2023;
16-05-2023;AMI-Tecnologias para Transportes, SA;08-10-2024;
27-10-2023;EC – Filtered Water (Ex New Water Project);25-10-2023;
;Media Market Sint-Pieters-Leeuw;29-12-2023;
;Lisbon Cruise Port;11-04-2023;
21-10-2022;Datelka - Engenharia e Sistemas, Lda;05-05-2023;
;Administration des affaires islamiques de Rabat;29-12-2023;
;HIDRITEL – Instalações Especiais Lda;05-05-2023;
;Armando Portela, LDA;24-04-2023;
16-08-2023;Hospital da Cruz Vermelha;20-04-2023;
16-01-2024;CLINIA - Clínica Médica da Linha, Lda;20-04-2023;
;TOYOTA;29-12-2023;
;FINESSTECH;29-12-2023;
;Eroski Urbil;14-09-2022;
13-09-2022;Intelligent Retail Solutions;13-09-2022;
;Bahwan IT Oman;19-04-2023;
27-04-2023;Ayuntamiento de San Fernando de Henares;29-12-2023;
05-09-2022;SC - Tecidos;21-04-2023;
;TRADELINK;06-09-2024;
29-08-2022;HBPRO;17-04-2023;
24-03-2023;To Grow ltd;06-09-2024;
;CAPUFE;06-09-2024;
01-02-2023;BCI;19-04-2023;
;Kuwait International Bank;06-09-2024;
28-07-2022;H2Plus Energy Lda;28-07-2022;
;GCB BANK LIBERTY HOUSE BRANCH;29-12-2023;
;HBA SAFETY AND SECURITY SYSTEM;29-12-2023;
;Ooredoo;19-04-2023;
16-08-2024;Grupo CR - Instalações Eléctricas;24-04-2023;
23-06-2025;Os Mosqueteiros;10-10-2023;
02-05-2025;TML - Transportes Metropolitanos de Lisboa;26-06-2024;
12-07-2022;TIMING - Recursos Humanos;05-08-2022;
;Tsolnet;24-04-2023;
11-04-2023;Rodoviária de Lisboa (Grupo Barraqueiro);11-04-2023;
;Konica Minolta - Hospital  Santa Casa Misericórdia Vila Verde;20-06-2022;
17-06-2022;Restaurante O Forno;17-06-2022;
;Algeria Gulf Bank SPA;19-04-2023;
08-06-2022;Proworld;20-01-2023;
;Cedis - Ágora Cultura e Desporto do Porto, EM, S.A.;08-06-2022;
07-03-2024;Algardata - Junta Freguesia de Quarteira;02-08-2024;
15-06-2022;ACCENTURE - CONSULTORES DE GESTÃO, S.A.;24-04-2023;
;METRO MARKETS;24-05-2022;
;CONSULATE OF ITALY;05-09-2024;
06-12-2022;EDP - HAVAS DESIGN PORTUGAL, LDA;03-11-2023;
;eroski Garbera;19-05-2022;
;OVO Solutions - Soluções Ambientais S.A.;11-04-2023;
;Newclima;05-05-2023;
;SIMO & ASOCIADOS;24-04-2023;
;KK Securities;06-09-2024;
09-05-2022;Clinica de Chelas, Lda;09-05-2022;
;BAI;19-04-2023;
30-11-2023;MONTEPIO RAINHA DONA LEONOR - ASSOCIAÇÃO MUTUALISTA;11-04-2023;
;K2Volt;05-05-2023;
23-01-2023;Riley Falcon Security;06-09-2024;
;SEF;19-04-2023;
;PUNKO;06-09-2024;
;Eroski Salburua;29-12-2023;
15-06-2023;Tirion – Portugal Works Management, Lda_ NAO USAR;17-04-2025;
;Banco Regional do Keve SA;29-12-2023;
;J L Nogueira,Lda.;05-05-2023;
;Electro Instaladora da Lixa;05-05-2023;
07-02-2024;Ramos Ferreira;05-05-2023;
;Eroski Iruna;03-05-2022;
;KCB Bank Kenya Ltd;06-09-2024;
;G&D Chile;03-08-2023;
;Águas do Interior-Norte, E. I. M., S. A. (AdIN);29-04-2022;
;Bendahia Abla;05-09-2024;
;Media Markt Nieuwstraat;31-08-2022;
;Petricor DTL;29-12-2023;
;Novo Hospital dos Queimados;29-12-2023;
;Servinfor;29-12-2023;
;OFFTEC PALESTINE;29-12-2023;
;Abudhabi Quality and Conformity Council;28-03-2022;
;DTB Bank Kenya;29-12-2023;
;Ministry of Works;06-09-2024;
;AJUNTAMENT DE SANT FELIU DE LLOBREGAT;19-04-2023;
15-03-2022;Alba Smart Energy;05-05-2023;
;Equity Bancshares Inc;29-12-2023;
;CACTUS GROUP;06-09-2024;
28-09-2022;Primedev, Lda;05-05-2023;
04-03-2022;Glintt - Hospital de Santo Espírito da Ilha Terceira;11-06-2024;
;JCTEK;05-05-2023;
11-04-2022;Shs - Smart Healthcare Solutions, S.A;20-04-2023;
;GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit;06-09-2024;
;SEBIT;24-04-2023;
19-07-2023;ESEGUR;24-04-2023;
23-09-2022;Cadtf - Cent. Avan. Diag. Trat. Feridas;20-04-2023;
;CCAM do Alentejo Sul, CRL;15-02-2022;
;MUVON;04-02-2022;
26-09-2022;C&RT – Instalações Eléctricas e Tecnológicas;05-05-2023;
;Abu Dhabi Labour Court;02-02-2022;
;ABU DHABI LABOUR COURT;05-09-2024;
;ABSA BANK SOUTH AFRICA;29-12-2023;
;TELESPRINT;29-12-2023;
23-09-2022;Clínica Cruz Verde;20-04-2023;
;Trivalor;11-08-2022;
14-01-2022;B2B - Nutrimais, Lda ( Grupo Trivalor );11-04-2023;
23-05-2022;MUVON;07-01-2022;
09-02-2026;Tetra Pak Portugal, S.A.;20-12-2023;
;CDM Bank (credit du maroc);06-09-2024;
;Centre Hospitalier Regional de Kenitra;06-09-2024;
;Guarda Nacional Republicana;18-04-2023;
;ARAB BANK BAHRAIN;29-12-2023;
;JF Junqueira;05-05-2023;
;GTI Software y Networking SA;02-01-2024;
;SSMC - Sheikh Shakhbout Medical City;02-01-2024;
;SEPE - Servicio Público Estatal de Empleo;06-09-2024;
;GARE ROUTIER D' ALGER;06-09-2024;
;HIMA CEMENT;02-01-2024;
;Gare Routiére d'Alger;02-01-2024;
;Algeria Newvision & Innovation - Sogral;24-04-2023;
;Credit Agricole Du Maroc SA;02-01-2024;
26-08-2022;TECHNOLOGY ASSOCIATES LTD;06-09-2024;
;Gigatel;05-05-2023;
;CM Nelas;05-05-2023;
27-10-2021;Centro Veterinário de Alverca;27-10-2021;
;CM Famalicão;11-04-2023;
;CM Arraiolos;11-04-2023;
08-01-2024;Clínicas de Santa Madalena;17-04-2023;
;BANCO SOL;08-10-2021;
;Município de Santa Cruz das Flores;20-04-2023;
02-11-2023;NAO USAR_Clínica MONTEPIO RAINHA DONA LEONOR;20-04-2023;
;Yousef Nasser;06-09-2024;
;Cash Systems SA (PTY) LTD;06-09-2024;
03-09-2021;CUF - Hospital da Ordem da Trindade, Lda;11-04-2023;
19-10-2023;Centro Hospitalar do Oeste, E.P.E;11-04-2023;
24-10-2025;DRAAC _ Direção Regional do Ambiente e Alterações Climáticas;27-03-2024;
;OPTICAS LUX;06-09-2024;
11-09-2024;Solinca Classic, S.A.;21-04-2023;
17-06-2022;Águas de Santarém;11-04-2023;
;ELO-SI;16-07-2021;
23-10-2021;STAPLES;20-04-2023;
;AL SUWAIQ HOSPITAL;06-09-2024;
;Hoshan Company Ltd;06-09-2024;
;Al Bilad Bank;06-09-2024;
;CM Vila Verde;05-05-2023;
;CIM Oeste;05-05-2023;
28-02-2024;Hospital de Vila Franca de Xira, EPE.;11-04-2023;
28-06-2021;DOMOTICA, LDA;28-06-2021;
;Secretaria Regional do Turismo e Transportes;05-05-2023;
;G. HÖFLE, LDA;17-06-2021;
16-06-2021;Infoein;06-09-2024;
29-09-2021;Universidade Fernando Pessoa;06-04-2023;
;EPH - EL PALACIO DE HIERRO;06-09-2024;
;CPC ÁFRICA;06-09-2024;
;Grupo EDP;17-04-2023;
28-07-2021;B6 Software Solutions;11-05-2021;
;Al Barid Bank;06-09-2024;
;SIGNAUX UAE;06-09-2024;
;SIGNAUX KSA;06-09-2024;
;NVE Engenharia;05-05-2023;
;AAR HEALTHCARE;06-09-2024;
;test;08-10-2025;
;DHL QATAR;06-09-2024;
;Q SOFT QATAR;06-09-2024;
;Shams;06-09-2024;
12-11-2021;INETUM;05-05-2023;
;TADAWI HOSPITAL;06-09-2024;
;CM Ferreira do Zêzere;05-05-2023;
;URBANOS SUPPLY CHAIN SA;25-03-2021;
31-05-2024;ARM - Águas e Resíduos da Madeira, S. A.;26-09-2025;
;Caminoval;05-05-2023;
;CDA - Community Development Authority;06-09-2024;
;CM Vila Real;05-05-2023;
;EcoEdifica;05-05-2023;
;CM Viseu;05-05-2023;
;DMR Mil Rollos;09-01-2024;
;Open PMS;05-05-2023;
08-04-2021;MERCADONA S.A.;11-04-2023;
;Telefónica Móviles , S.A.;02-01-2024;
12-02-2021;A Super 2000;11-04-2023;
;The Judiciary;06-09-2024;
;Lidl Portugal;25-07-2024;
28-09-2022;Pedro Moreira Electricidade;05-05-2023;
;Versia Servicios Distribuidos TI, SA;09-01-2024;
26-09-2022;Fnt - Engenharia, Lda;05-05-2023;
10-11-2021;Versia Infraestructuras TI;10-05-2024;
;SALEM MEDICAL CENTER;02-01-2024;
;Pastelaria Florentino;05-05-2023;
02-12-2020;Trofa Saúde Hospital de Valença;11-04-2023;
;First Citizens Bank Ltd;06-09-2024;
;AT&T;19-11-2020;
;SONAE - Modelo e Continente Hipermercados;11-04-2023;
06-07-2022;APIAM - PROBEB;11-08-2022;
;KFSH;06-09-2024;
;EEM - Eletricidade da Madeira;21-10-2020;
;Department of Culture and Tourism - Abu Dhabi;06-09-2024;
;Abu Dhabi Health Services co.;06-09-2024;
;Be Water;11-04-2023;
;National Insurance Board of Trinidad and Tobago;06-09-2024;
;ACRIBIA;05-05-2023;
;Polish Cultural Institute London;06-09-2024;
;General Consulate of the Republic of Poland Manchester;06-09-2024;
;ELECTRÃO;20-04-2023;
;EMAC Cascais;05-05-2023;
;AL ZAYED CLINIC;06-09-2024;
08-05-2024;Novo Verde;13-05-2024;
;Laboral Kutxa;06-09-2024;
14-12-2020;Ruiiur - Cons. e Des. de Software;05-05-2023;
;CultAlg;05-05-2023;
21-08-2020;Internetwork Express;02-01-2024;
01-08-2024;FLOSEL;05-08-2024;
;Beltrão Coelho Açores;05-08-2020;
;Be Water;06-08-2020;
17-01-2025;CM Mafra;10-09-2024;
;CESPU;05-05-2023;
;Aquário;05-05-2023;
19-04-2021;Aldi Portugal;11-08-2020;
08-10-2024;Electromendanha - Inst. Elec. e Rep. Lda;05-05-2023;
22-08-2024;EMBEIRAL TÉCNICA, LDA;05-05-2023;
;Embraer;27-07-2020;
20-04-2021;NB Klima;05-05-2023;
10-01-2022;Tovisi - Engenharia e Construção, S.A;05-05-2023;
03-07-2024;Ielac - Instalações Especiais, Lda;05-05-2023;
19-04-2021;JG Instalações Eléctricas, Lda;05-05-2023;
28-09-2022;Stencis, Instalações Técnicas, Lda;20-04-2023;
;ARS NORTE;20-07-2020;
18-09-2024;Electrograça-Instalações Lda;05-05-2023;
10-05-2021;APAMETAL;10-07-2020;
;Grupo Germano de Sousa;11-04-2023;
10-01-2023;I&M Bank;06-09-2024;
;INNGAGE;24-04-2023;
;ABU DHABI POLICE;06-09-2024;
;Intermarché;15-06-2020;
;Instituto da Segurança Social, I.P.;05-05-2023;
;TRIVALOR, SGPS - PARA APAGAR;24-04-2023;
02-03-2023;ACIDADOS SA;05-05-2023;
;Santogal N-Imp,Comérc,Rep e Aluguer de Automoveis, LDA;11-04-2023;
;DIONE VENTURES INT. LTD;06-09-2024;
;Datelka;05-05-2023;
;ABU DHABI AIRPORT;06-09-2024;
;Daimler - Mercedes Portugal;30-04-2020;
;Teleconde;05-05-2023;
;MJC Construções;05-05-2023;
;Benfica SAD;20-04-2023;
;SUPREME COUNCIL OF HEALTH;06-09-2024;
;GrupoJOTA;05-05-2023;
25-03-2020;Instituto Pedro Nunes;20-03-2020;
;Community Development Authority;20-03-2020;
;HOSPITAL MONSENOR SANABRIA;06-09-2024;
;Jumbo Electronics;06-09-2024;
16-08-2022;Diamond Systems & Supplies Ltd;20-10-2023;
;Balearic Handling;05-05-2023;
;CITY BANAMEX;06-09-2024;
;Aga Khan Hospital;06-09-2024;
;Municipio da Maia;03-03-2020;
;Glintt España, Sl;24-04-2023;
28-09-2022;DTE Instalações Especiais;05-05-2023;
;CCAM Beja e Mértola;27-02-2020;
;CM Ribeira Grande;18-02-2020;
07-05-2026;EPAL;11-04-2023;
;BIOGLOBAL;05-05-2023;
;Farmácia Santos;05-05-2023;
12-11-2020;Hospital do Espírito Santo de Évora, E. P. E.;20-04-2023;
;CM Oliveira de Frades;11-04-2023;
17-03-2021;GEMA;05-05-2023;
;Euclides Style;05-05-2023;
;Hnos martin - ESTEPONA-MÁLAGA;24-01-2020;
;Stacks;23-01-2020;
;Cronotécnica;22-01-2020;
13-11-2020;BCX;06-09-2024;
;ISCTE;05-05-2023;
20-04-2021;INSTORE MEDIA;24-04-2023;
20-04-2021;Medical Art Center - Clínica Médica, Lda;20-04-2023;
03-07-2024;CM Leiria;11-04-2023;
;GSI - Grupo Seguridad Integral;06-09-2024;
;INTERNATIONALCAR;05-05-2023;
23-03-2020;CGI;05-05-2023;
09-03-2022;Fundação Champalimaud;11-04-2023;
19-04-2021;Clínica do Dragão;20-04-2023;
;Banco Azteca;06-09-2024;
20-03-2020;CM Benavente;05-05-2023;
;AIB - Afghanistan International Bank;06-09-2024;
14-07-2022;CANAS;05-05-2023;
;In Store Media;06-09-2024;
;CONSELL SUPERIOR DE LA JUSTÍCIA;09-01-2024;
;Commune Di Rho;06-09-2024;
06-03-2020;Rui Vieira Electricidade;05-05-2023;
;Romero Barbeiros;05-05-2023;
;AIB - Afghanistan International Bank;14-11-2019;
;Harrogate District Hospital;06-09-2024;
28-01-2019;CONDIS;09-01-2024;
09-11-2019;SENSORMATIC;09-01-2024;
20-03-2020;WONDERCOM;05-05-2023;
07-02-2020;HHS - Host Hotel Systems;05-05-2023;
;DualInfor;05-05-2023;
;Sensorpoint;09-01-2024;
16-09-2025;Loomis - Carris;12-09-2024;
;Naturgy;09-01-2024;
;IDL Africa Ghana;09-01-2024;
20-03-2020;Tejo Ambiente;05-05-2023;
;HOSPITAL VICTORIA EUGENIA DE SEVILLA;09-01-2024;
;Easy Phone;09-01-2024;
24-10-2019;Águas de Aveiro;05-05-2023;
22-01-2026;Telefónica de España;02-01-2024;
;Ayuntamiento de Ponteareas;09-01-2024;
;NBF - National Bank of Fujairah;02-01-2024;
;DPCIT;09-01-2024;
26-02-2026;Clinica de Ressonância Magnética do Algarve;11-04-2023;
;ADAM - Águas Alto Minho;05-05-2023;
10-10-2019;infoMEDiA;05-05-2023;
;Mediascreen;24-04-2023;
11-01-2024;AbriSaúde Clínica;11-04-2023;
14-07-2023;Hospital de Braga, EPE ( Ex Escala Braga);18-04-2023;
21-01-2022;Sensorpoint - Soluções de Segurança;20-04-2023;
;ayuntamiento de Viladecans;09-01-2024;
;EFIMA;05-05-2023;
;Reninstal;02-05-2023;
;Grupo Media Markt;02-05-2023;
;Amplitudenet;24-04-2023;
;Ayuntamiento de San Fernando de Henares;09-01-2024;
;Banc ABC;06-09-2024;
;MP SHAH Hospital;09-01-2024;
;Santander Mexico;06-09-2024;
22-07-2020;Everis Portugal, S.A;02-05-2023;
;Farmacias San Pablo;02-01-2024;
;Grupo SANFIL Medicina;02-05-2023;
20-07-2022;Sisfoz;02-05-2023;
17-09-2019;CIMLT - Com. Intermunicipal da Leziria do Tejo;20-04-2023;
;LINESERVI;09-01-2024;
;Joalharia  Anselmo 1910;28-08-2019;
18-09-2019;wwconsulting;02-05-2023;
;Ayuntamiento de Majadahonda;09-01-2024;
;Ayuntamiento de Majadahonda;09-01-2024;
20-02-2020;Paço dos Duques de Bragança;21-04-2023;
22-07-2020;Hidritel;30-09-2019;
29-07-2025;Ayuntamiento de San Fernando de Henares;09-01-2024;
;Central Bank of the UAE;06-09-2024;
;Panamericana de Valores;02-01-2024;
;BANORTE;06-09-2024;
;Joaquim Chaves Saúde;05-05-2023;
;Nottingham Trent University;09-01-2024;
;Grupo UNILABS;21-04-2023;
09-12-2021;MINSAIT - INDRA COMPANY;21-04-2023;
;MWCB;09-01-2024;
26-07-2023;Leroy Merlin;11-04-2023;
;Albarid Bank;25-07-2019;
22-07-2020;Hospital Nossa Senhora da Arrábida;20-04-2023;
;EML;09-01-2024;
07-05-2026;CM Fafe;11-04-2023;
09-07-2019;Activbookings;21-04-2023;
08-07-2019;CM Odivelas;21-04-2023;
;SEPE;09-01-2024;
18-07-2019;Padaria Portuguesa;01-07-2019;
;Grupo Jerónimo Martins;11-04-2023;
11-07-2019;Uin Sports;21-04-2023;
05-03-2020;Politécnico de Setúbal;21-04-2023;
20-03-2020;CIVIPARTS;21-04-2023;
16-07-2021;Clínica de São Cristóvão;21-06-2019;
23-03-2020;TEATRO NACIONAL DE SÃO JOÃO, Porto;11-08-2022;
;Finsbury Forex;09-01-2024;
;SALUS;09-01-2024;
17-06-2019;Volkswagen;21-04-2023;
14-10-2025;Trivalor;05-05-2023;
29-06-2022;INDRA Minsait Portugal;24-04-2023;
;Tamis Corp;07-06-2019;
03-09-2020;VERSIA;09-01-2024;
03-07-2019;Queens Fitness Club;20-04-2023;
;National Bank of Kuwait;09-01-2024;
;Banorte;05-08-2019;
31-03-2020;MAKRO - CONTA REPETIDA - NÃO USAR;20-04-2023;
;ATOS;30-05-2019;
;QWERTY Informática;09-01-2024;
05-11-2025;Auchan Portugal Hipermercados SA;19-11-2024;
;Generalitat de Catalunya;09-01-2024;
04-01-2022;Telefónica On The Spot;03-08-2023;
;Flagship Movistar;15-09-2023;
;SEXPE;09-01-2024;
;EUSKALTEL;09-01-2024;
;Hijos de Luis Rodríguez;09-01-2024;
;Movistar Mobile Centre Barcelona;15-09-2023;
;Primark Braga;14-05-2019;
17-04-2023;Centro Logístico CUF;11-04-2023;
;Supermercados masymas;09-01-2024;
;Leroy Merlin;09-01-2024;
;MetLife Inc.;20-11-2020;
;Caixa de Crédito Agrícola Mútuo de Silves, CRL;13-05-2019;
;Algardata - Município de Loulé;24-10-2023;
20-03-2020;EDNI;05-05-2023;
;Water and Sewer Utilities;06-09-2024;
;City of Novato;06-09-2024;
;CS&M;09-01-2024;
15-01-2020;Ayuntamiento de Sant Vicent dels Horts;09-01-2024;
15-12-2022;Dartford Borough Council;06-09-2024;
;Al Tayer Group;06-09-2024;
16-04-2019;Banorte;20-11-2020;
13-05-2026;Konica Minolta;19-12-2023;
;Tasjeel IT;02-01-2024;
;Baraka Bank;09-01-2024;
;Faisal Bank;09-01-2024;
23-12-2021;NCRM - Marrocos;03-08-2023;
;Joaquim Chaves Saúde;21-04-2023;
;Passport Office Uganda;09-01-2024;
14-04-2021;ULTRAVISION CONSULT SRL;06-09-2024;
;Universidade Fernando Pessoa;09-04-2019;
;Ministry of Finance (MOF UAE);09-01-2024;
08-10-2019;BBVA ESPAÑA;09-01-2024;
26-09-2019;Bankia;09-01-2024;
15-04-2019;GRUPO CUEVAS;09-01-2024;
;SEMARK - SUPERMERCADOS LUPA;09-01-2024;
07-10-2019;CORREOS;09-01-2024;
